Quotation_ID,Date,Client,Project,Item,Unit,Quantity,Cement_Bags,Sand_CFT,Aggregate_CFT,Steel_Kg,Bricks_Nos,Water_Cost,Equipment_Cost,Labour_Cost,Electrical_Cost,Material_Cost,Transport,Safety,GST,Profit,Total
QTN-00156,2026-08-23,SPPS Construction,Project 43,Plastering,Nos,346,512,513,413,2173,6446,175,22216,53092,1905,535718,12258.62,6129.31,113637.41,74495.63,819451.97
QTN-00157,2026-06-21,XYZ Infra,Project 16,Earthwork,Nos,462,380,731,115,4759,940,839,40403,54168,6724,608564,14197.18,7098.59,131607.86,86276.26,949038.89
QTN-00158,2026-01-26,Green Homes,Project 82,Plastering,Nos,158,321,777,91,44,6068,2779,40481,7803,7558,272153,6559.9,3279.95,60810.27,39864.51,438509.64
QTN-00159,2026-07-13,ABC Builders,Project 7,PCC,Nos,413,446,344,737,462,9429,4826,45430,44118,14842,431568,10719.16,5359.58,99366.61,65140.34,716543.69
QTN-00160,2026-05-20,Skyline,Project 82,RCC,Nos,23,55,284,804,619,1086,444,9996,82722,4005,199507,5924.6,2962.3,54921.04,36003.79,396041.74
QTN-00161,2026-03-23,Green Homes,Project 36,Waterproofing,Nos,283,560,663,835,1799,7975,2840,24359,34874,14833,606805,13617.42,6808.71,126233.48,82753.06,910283.67
QTN-00162,2026-10-16,Green Homes,Project 23,Waterproofing,Nos,67,419,61,24,1653,4891,791,47719,40191,9851,360204,9159.3,4579.65,84906.71,55661.07,612271.73
QTN-00163,2026-02-28,Green Homes,Project 94,RCC,Nos,240,563,123,121,1315,6886,3519,14472,28845,8144,434942,9728.06,4864.03,90179.12,59117.42,650291.63
QTN-00164,2026-10-12,Skyline,Project 8,Plastering,Nos,309,568,543,276,343,9952,2534,21709,83547,18769,440035,11281.2,5640.6,104576.72,68555.85,754114.38
QTN-00165,2026-02-03,XYZ Infra,Project 87,Painting,Nos,485,45,293,583,4935,3675,3401,22915,57575,2755,516576,11996.42,5998.21,111206.81,72902.24,801924.69
QTN-00166,2026-01-03,ABC Builders,Project 78,RCC,Nos,338,477,293,25,2080,3271,4377,47242,9541,15423,427635,9996.82,4998.41,92670.52,60750.68,668257.43
QTN-00167,2026-05-20,ABC Builders,Project 72,Plastering,Nos,30,180,749,852,2794,9464,2534,42830,71297,7423,530956,13050.12,6525.06,120974.61,79305.58,872361.37
QTN-00168,2026-01-25,Green Homes,Project 15,RCC,Nos,213,147,448,291,4167,7512,3886,24070,13126,12742,513417,11267.1,5633.55,104446.02,68470.17,753171.83
QTN-00169,2026-08-14,ABC Builders,Project 99,Waterproofing,Nos,129,562,42,799,4605,9333,3593,5243,66751,5054,775772,17056.4,8528.2,158112.83,103651.74,1140169.17
QTN-00170,2026-11-25,XYZ Infra,Project 35,PCC,Nos,382,213,678,257,4251,9435,805,34449,94531,1299,576040,14126.38,7063.19,130951.54,85846.01,944306.12
QTN-00171,2026-12-05,SPPS Construction,Project 11,Earthwork,Nos,321,37,127,626,2081,4589,517,30917,20746,11833,295234,7174.6,3587.3,66508.54,43600.04,479600.49
QTN-00172,2026-04-02,XYZ Infra,Project 93,Flooring,Nos,393,259,396,89,529,7988,1186,4688,52803,5718,263675,6537.68,3268.84,60604.29,39729.48,437024.29
QTN-00173,2026-03-09,SPPS Construction,Project 75,Waterproofing,Nos,445,576,677,350,3885,986,1881,7840,6568,15875,656504,13735.74,6867.87,127330.31,83472.09,918193.01
QTN-00174,2026-06-17,SPPS Construction,Project 50,Brickwork,Nos,133,10,317,36,4846,1106,169,26276,19292,5924,406647,9162.78,4581.39,84938.97,55682.21,612504.35
QTN-00175,2026-08-28,XYZ Infra,Project 14,RCC,Nos,318,529,143,481,708,8710,2623,19849,85364,4284,432613,10842.2,5421.1,100507.19,65888.05,724768.54
QTN-00176,2026-11-24,ABC Builders,Project 94,Brickwork,Nos,182,216,787,149,135,6297,3808,46505,43972,4653,242349,6749.58,3374.79,62568.61,41017.2,451189.17
QTN-00177,2026-09-17,SPPS Construction,Project 38,Plastering,Nos,152,417,470,527,2450,1249,1736,15237,39920,15661,483968,11095.72,5547.86,102857.32,67428.69,741715.59
QTN-00178,2026-01-17,SPPS Construction,Project 7,RCC,Nos,195,537,338,704,494,6707,324,39690,8882,12544,444200,10106.32,5053.16,93685.59,61416.11,675577.17
QTN-00179,2026-09-20,Green Homes,Project 79,Waterproofing,Nos,207,179,500,279,3105,3537,2570,12577,92354,1116,417771,10476.36,5238.18,97115.86,63664.84,700313.24
QTN-00180,2026-04-01,Skyline,Project 12,Brickwork,Nos,427,433,709,74,4479,873,2533,17155,6930,14726,605892,12894.06,6447.03,119527.94,78357.2,861929.23
QTN-00181,2026-05-09,SPPS Construction,Project 88,Brickwork,Nos,330,521,555,820,3850,4570,3737,12403,84715,1688,706297,16102.06,8051.03,149266.1,97852.22,1076374.4
QTN-00182,2026-07-13,SPPS Construction,Project 34,Flooring,Nos,289,123,163,753,3157,4932,2113,6515,96524,3727,437094,10877.2,5438.6,100831.64,66100.74,727108.19
QTN-00183,2026-12-23,XYZ Infra,Project 57,Earthwork,Nos,136,320,521,614,1756,5462,4718,5844,17347,13034,439474,9513.98,4756.99,88194.59,57816.46,635981.02
QTN-00184,2026-02-18,SPPS Construction,Project 25,Waterproofing,Nos,465,418,522,619,4538,8691,4636,47204,74808,5163,718654,16916.58,8458.29,156816.7,102802.06,1130822.62
QTN-00185,2026-01-11,SPPS Construction,Project 42,Brickwork,Nos,361,83,734,472,2195,1391,4425,28444,66204,17163,332888,8893.98,4446.99,82447.19,54048.72,594535.88
QTN-00186,2026-05-07,SPPS Construction,Project 51,Brickwork,Nos,413,334,393,312,264,2166,4675,19543,7714,11313,260983,5991.06,2995.53,55537.13,36407.67,400484.39
QTN-00187,2026-06-17,XYZ Infra,Project 5,RCC,Nos,222,397,762,738,3104,3827,581,8277,14026,4421,592167,12377.82,6188.91,114742.39,75220.01,827420.13
QTN-00188,2026-05-09,Green Homes,Project 60,Flooring,Nos,303,543,562,781,1652,5827,3600,10918,78773,4669,557146,13030.12,6515.06,120789.21,79184.04,871024.43
QTN-00189,2026-05-19,Skyline,Project 95,Brickwork,Nos,238,303,496,798,1221,6006,3489,43898,67176,15793,414902,10835.38,5417.69,100443.97,65846.6,724312.65
QTN-00190,2026-10-10,XYZ Infra,Project 99,Brickwork,Nos,285,353,787,212,1455,2507,3663,44148,94974,19173,380094,10767.78,5383.89,99817.32,65435.8,719793.79
QTN-00191,2026-08-17,ABC Builders,Project 80,RCC,Nos,428,217,598,885,1530,1413,3038,29914,90015,66,380782,10015.54,5007.77,92844.06,60864.44,669508.8
QTN-00192,2026-03-09,XYZ Infra,Project 13,Waterproofing,Nos,339,340,394,625,4792,6137,2485,35187,20584,2281,670501,14571.06,7285.53,135073.73,88548.33,974031.65
QTN-00193,2026-08-13,Green Homes,Project 97,Earthwork,Nos,243,94,383,299,4593,9544,4180,22773,97947,364,533827,13098.22,6549.11,121420.5,79597.88,875576.71
QTN-00194,2026-07-12,Green Homes,Project 22,Flooring,Nos,158,214,332,87,200,4593,652,16607,56589,7945,185696,5336.74,2668.37,49471.58,32431.37,356745.06
QTN-00195,2026-12-14,Skyline,Project 81,PCC,Nos,114,186,379,51,4053,9115,2241,15174,35814,6019,499276,11125.66,5562.83,103134.87,67610.64,743716.99
QTN-00196,2026-03-06,ABC Builders,Project 29,PCC,Nos,140,178,85,862,4312,4405,3952,21392,85465,18528,552932,13566.34,6783.17,125759.97,82442.65,906869.13
QTN-00197,2026-01-10,ABC Builders,Project 14,Brickwork,Nos,250,422,550,770,4446,7725,1813,6798,67732,3693,723363,16031.72,8015.86,148614.04,97424.76,1071672.39
QTN-00198,2026-06-18,SPPS Construction,Project 88,Plastering,Nos,93,330,279,629,222,1866,4220,2286,98619,4439,282098,7748.84,3874.42,71831.75,47089.7,517986.71
QTN-00199,2026-04-04,Skyline,Project 39,Painting,Nos,173,383,107,158,4470,7400,895,42070,87873,18643,595215,14876.02,7438.01,137900.71,90401.57,994417.31
QTN-00200,2026-05-02,ABC Builders,Project 84,RCC,Nos,272,513,712,267,2552,449,2095,34824,11226,9969,516937,11459.12,5729.56,106226.04,69637.07,766007.79
QTN-00201,2026-04-05,Skyline,Project 32,Earthwork,Nos,228,200,624,350,2322,4076,1679,25691,23792,15092,390357,9098.64,4549.32,84344.39,55292.44,608216.79
QTN-00202,2026-07-13,SPPS Construction,Project 2,Brickwork,Nos,313,513,800,372,4214,6852,762,1858,99456,8842,711118,16425.48,8212.74,152264.2,99817.64,1097994.06
QTN-00203,2026-06-09,Skyline,Project 83,Plastering,Nos,217,265,365,121,3902,7397,3447,48159,97137,13306,518243,13536.9,6768.45,125487.06,82263.74,904901.15
QTN-00204,2026-06-02,ABC Builders,Project 45,Flooring,Nos,496,430,617,717,3320,5292,2504,1295,42696,16733,622740,13669.28,6834.64,126714.23,83068.21,913750.36
QTN-00205,2026-07-28,XYZ Infra,Project 12,Brickwork,Nos,419,459,216,9,919,6404,2031,14994,85315,19078,347098,9329.7,4664.85,86486.32,56696.59,623662.46
QTN-00206,2026-01-13,XYZ Infra,Project 70,Flooring,Nos,221,344,144,759,2629,933,3175,40380,55822,12342,465214,11475.16,5737.58,106374.73,69734.55,767080.02
QTN-00207,2026-11-06,Green Homes,Project 2,Brickwork,Nos,500,441,108,772,1773,8229,4991,29378,12072,15488,503528,11209.32,5604.66,103910.4,68119.04,749309.41
QTN-00208,2026-04-26,SPPS Construction,Project 81,Plastering,Nos,15,53,739,128,1251,2222,2460,10424,59450,3220,212391,5709.7,2854.85,52928.92,34697.85,381676.32
QTN-00209,2026-06-22,SPPS Construction,Project 57,Waterproofing,Nos,411,287,466,704,1376,8070,4570,5500,27605,16340,423240,9453.7,4726.85,87635.8,57450.13,631951.48
QTN-00210,2026-07-25,SPPS Construction,Project 72,Plastering,Nos,393,236,184,477,4160,4719,3839,29167,84487,17297,531751,13254.04,6627.02,122864.95,80544.8,885992.81
QTN-00211,2026-09-24,XYZ Infra,Project 5,Waterproofing,Nos,91,17,423,660,1486,4471,3633,26524,23339,6427,271541,6556.62,3278.31,60779.87,39844.58,438290.38
QTN-00212,2026-04-13,ABC Builders,Project 23,Plastering,Nos,341,29,117,8,2726,1835,214,14971,99241,8769,242714,7313.9,3656.95,67799.85,44446.57,488912.27
QTN-00213,2026-07-02,XYZ Infra,Project 59,RCC,Nos,286,274,177,302,1324,1083,4827,35823,53253,11488,286491,7741.1,3870.55,71760,47042.66,517469.31
QTN-00214,2026-06-18,SPPS Construction,Project 26,Flooring,Nos,180,77,344,711,4652,1157,4923,19573,55815,6950,510569,11858.14,5929.07,109924.96,72061.92,792681.08
QTN-00215,2026-09-19,Skyline,Project 85,RCC,Nos,367,131,163,796,521,4766,3209,9593,71072,1568,247922,6603.1,3301.55,61210.74,40127.04,441397.43
QTN-00216,2026-11-17,ABC Builders,Project 49,Painting,Nos,89,479,673,194,2342,1924,3574,37380,60511,17298,487286,12049.5,6024.75,111698.86,73224.81,805472.93
QTN-00217,2026-04-06,Green Homes,Project 91,Painting,Nos,89,29,248,342,4033,945,1549,7341,69585,12471,385514,9498.22,4749.11,88048.5,57720.68,634927.51
QTN-00218,2026-05-09,XYZ Infra,Project 23,Brickwork,Nos,496,367,638,621,2718,9,3025,39834,64438,7302,497657,12184.62,6092.31,112951.43,74045.94,814505.29
QTN-00219,2026-03-10,SPPS Construction,Project 36,Plastering,Nos,32,120,773,57,1182,905,4232,35910,27092,19892,222802,6113.92,3056.96,56676.04,37154.29,408697.21
QTN-00220,2026-09-12,Green Homes,Project 87,Earthwork,Nos,199,249,308,323,4935,762,228,25755,72983,6098,551899,13134.7,6567.35,121758.67,79819.57,878015.29
QTN-00221,2026-09-14,SPPS Construction,Project 63,Plastering,Nos,488,399,726,683,293,3108,3104,23004,84364,14170,369533,9821.42,4910.71,91044.56,59684.77,656532.46
QTN-00222,2026-11-20,SPPS Construction,Project 49,Flooring,Nos,123,345,319,289,4727,8773,2916,14889,32674,4320,643075,13899.16,6949.58,128845.21,84465.2,929117.15
QTN-00223,2026-08-17,SPPS Construction,Project 46,PCC,Nos,209,419,264,215,4425,6407,4412,15904,18411,5633,623013,13259.22,6629.61,122912.97,80576.28,886339.08
QTN-00224,2026-04-23,Green Homes,Project 25,PCC,Nos,340,263,17,673,4885,7177,4415,37489,6582,18235,628676,13819.64,6909.82,128108.06,83981.95,923801.48
QTN-00225,2026-06-09,XYZ Infra,Project 38,RCC,Nos,333,136,572,224,1036,9106,4851,8620,89240,6544,289239,7872.86,3936.43,72981.41,47843.37,526277.07
QTN-00226,2026-04-04,ABC Builders,Project 30,Flooring,Nos,384,413,402,334,4926,2411,3668,31513,94874,4772,650496,15633.1,7816.55,144918.84,95002.35,1045025.84
QTN-00227,2026-06-26,Green Homes,Project 28,Painting,Nos,265,540,759,478,1875,5735,4310,10724,58019,13614,551895,12685.04,6342.52,117590.32,77086.99,847956.87
QTN-00228,2026-11-28,Green Homes,Project 52,Flooring,Nos,176,388,458,71,2113,1260,419,9146,18743,1214,388734,8356.74,4178.37,77466.98,50783.91,558623
QTN-00229,2026-07-09,Skyline,Project 28,RCC,Nos,424,357,432,150,1084,6802,1862,22774,41234,13821,350788,8572.34,4286.17,79465.59,52094.11,573035.21
QTN-00230,2026-02-05,ABC Builders,Project 81,Plastering,Nos,80,167,52,440,4573,7806,2879,1721,32000,16985,540412,11822.36,5911.18,109593.28,71844.48,790289.3
QTN-00231,2026-11-03,Skyline,Project 81,RCC,Nos,397,227,334,746,4200,6067,1147,37643,19027,16737,583073,13129.6,6564.8,121711.39,79788.58,877674.37
QTN-00232,2026-02-08,Skyline,Project 99,Earthwork,Nos,410,239,291,377,4888,7097,1250,40058,97375,14504,600696,15052.66,7526.33,139538.16,91475.01,1006225.16
QTN-00233,2026-03-14,Green Homes,Project 4,PCC,Nos,158,304,438,477,3112,4260,499,42865,49657,1811,497059,11827.84,5913.92,109644.08,71877.78,790655.62
QTN-00234,2026-08-18,SPPS Construction,Project 92,PCC,Nos,83,77,618,867,50,8672,154,41053,81064,11456,261410,7899.66,3949.83,73229.85,48006.23,528068.57
QTN-00235,2026-08-01,Green Homes,Project 26,RCC,Nos,236,591,256,279,3508,9214,3926,39265,10477,2048,660648,14248.76,7124.38,132086.01,86589.71,952486.86
QTN-00236,2026-12-26,XYZ Infra,Project 12,Flooring,Nos,440,573,320,463,3461,4058,331,27862,82545,6590,631380,14967.54,7483.77,138749.1,90957.74,1000535.15
QTN-00237,2026-08-23,XYZ Infra,Project 2,PCC,Nos,297,466,288,771,4713,5814,2811,1592,15338,18906,728058,15277.88,7638.94,141625.95,92843.68,1021280.44
QTN-00238,2026-04-09,SPPS Construction,Project 35,Flooring,Nos,76,258,139,800,4598,5467,1650,25294,48342,4450,613456,13830.84,6915.42,128211.89,84050.01,924550.16
QTN-00239,2026-02-08,ABC Builders,Project 100,Painting,Nos,418,74,319,874,552,935,4302,35139,56869,4068,216882,6259.16,3129.58,58022.41,38036.92,418406.07
QTN-00240,2026-09-09,SPPS Construction,Project 40,Brickwork,Nos,201,394,748,571,3554,2449,4646,45955,13446,14640,596448,13409.78,6704.89,124308.66,81491.23,896403.56
QTN-00241,2026-08-19,Green Homes,Project 41,Plastering,Nos,266,329,192,537,738,8494,4226,46502,35869,7530,355378,8905.58,4452.79,82554.73,54119.21,595311.31
QTN-00242,2026-11-01,XYZ Infra,Project 93,Flooring,Nos,332,583,247,762,2391,999,4549,35926,20456,3315,565416,12502.26,6251.13,115895.95,75976.23,835738.57
QTN-00243,2026-10-23,ABC Builders,Project 53,Earthwork,Nos,335,255,566,592,510,7199,4856,14787,75994,14864,331768,8748.26,4374.13,81096.37,53163.18,584794.94
QTN-00244,2026-08-06,Skyline,Project 66,Waterproofing,Nos,135,120,562,49,3256,2496,2323,36334,45354,19487,371331,9450.12,4725.06,87602.61,57428.38,631712.17
QTN-00245,2026-09-17,Green Homes,Project 71,Flooring,Nos,22,149,181,643,4184,7730,1857,8394,82874,12985,536187,12808.8,6404.4,118737.58,77839.08,856229.85
QTN-00246,2026-12-11,ABC Builders,Project 84,Earthwork,Nos,413,537,642,824,2066,4050,2876,10088,70183,12883,582116,13505.4,6752.7,125195.06,82072.32,902795.47
QTN-00247,2026-06-01,Skyline,Project 61,PCC,Nos,19,406,264,708,1386,7822,2247,47816,49942,10349,457553,11313.2,5656.6,104873.36,68750.32,756253.48
QTN-00248,2026-05-02,ABC Builders,Project 51,Waterproofing,Nos,139,480,431,456,3185,8392,4373,15852,31825,10927,615584,13483.76,6741.88,124994.46,81940.81,901348.9
QTN-00249,2026-10-15,Green Homes,Project 18,Flooring,Nos,436,381,319,70,708,8194,3213,36545,90565,9419,327235,9275.28,4637.64,85981.85,56365.88,620024.64
QTN-00250,2026-05-22,XYZ Infra,Project 99,Earthwork,Nos,222,459,657,607,3826,9401,2066,23602,44626,1655,696174,15321.14,7660.57,142026.97,93106.57,1024172.25
QTN-00251,2026-11-12,SPPS Construction,Project 26,Plastering,Nos,170,424,354,465,3484,6263,2081,39626,32928,1335,588405,13245.88,6622.94,122789.31,80495.21,885447.34
QTN-00252,2026-10-21,XYZ Infra,Project 46,Plastering,Nos,383,537,407,799,173,1792,2121,20298,82679,18032,399522,10410.62,5205.31,96506.45,63265.34,695918.72
QTN-00253,2026-09-07,ABC Builders,Project 45,Plastering,Nos,268,350,142,511,706,1955,642,26787,19971,7905,299412,7081.5,3540.75,65645.51,43034.28,473377.03
QTN-00254,2026-10-05,XYZ Infra,Project 94,Earthwork,Nos,48,198,536,467,3502,8135,2396,38138,98952,14909,518146,13402.9,6701.45,124244.88,81449.42,895943.66
QTN-00255,2026-01-23,ABC Builders,Project 52,Flooring,Nos,130,524,322,882,1701,5509,3740,46847,70235,18513,542787,13567.64,6783.82,125772.02,82450.55,906956.03
QTN-00256,2026-03-21,SPPS Construction,Project 57,RCC,Nos,369,387,507,472,2776,6379,4825,7028,5452,14889,535407,11255.52,5627.76,104338.67,68399.8,752397.75
QTN-00257,2026-10-09,ABC Builders,Project 64,Flooring,Nos,358,426,254,292,647,5813,3232,3211,94112,13645,345321,9125.78,4562.89,84595.98,55457.37,610031.02
QTN-00258,2026-09-18,ABC Builders,Project 7,Flooring,Nos,142,45,350,254,870,6719,478,49969,59716,13210,198210,6422.1,3211.05,59532.87,39027.1,429298.12
QTN-00259,2026-04-17,XYZ Infra,Project 83,RCC,Nos,115,537,353,806,127,4500,1145,44263,96882,15354,413280,11395.58,5697.79,105637.03,69250.94,761760.34
QTN-00260,2026-12-27,XYZ Infra,Project 21,PCC,Nos,302,200,746,21,4207,4627,2585,48994,36738,7043,507326,12002.02,6001.01,111258.73,72936.28,802299.03
QTN-00261,2026-07-25,Green Homes,Project 77,Brickwork,Nos,75,536,722,128,2150,9634,828,46327,55671,10424,553470,13317.84,6658.92,123456.38,80932.51,890257.65
QTN-00262,2026-06-28,Skyline,Project 61,Brickwork,Nos,145,324,278,601,3048,3017,4855,16434,93850,17270,497751,12506.1,6253.05,115931.55,75999.57,835995.27
QTN-00263,2026-06-28,XYZ Infra,Project 39,Earthwork,Nos,166,415,278,337,340,7436,2445,37756,62938,15145,336863,9054.04,4527.02,83930.95,55021.4,605235.41
QTN-00264,2026-12-26,ABC Builders,Project 87,PCC,Nos,402,35,727,23,123,8530,2749,30562,54039,13235,156884,5094.4,2547.2,47225.09,30958.67,340545.36
QTN-00265,2026-09-23,SPPS Construction,Project 34,Waterproofing,Nos,68,66,475,727,3975,197,1975,17400,18910,1943,456616,9897.38,4948.69,91748.71,60146.38,661610.16
QTN-00266,2026-05-27,SPPS Construction,Project 26,PCC,Nos,437,462,301,136,2473,1297,667,19772,93472,9742,444818,11356.08,5678.04,105270.86,69010.9,759119.88
QTN-00267,2026-08-02,SPPS Construction,Project 90,Painting,Nos,92,351,539,881,1142,3487,1726,19063,2068,455,422062,8872.96,4436.48,82252.34,53920.98,593130.76
QTN-00268,2026-11-18,ABC Builders,Project 6,RCC,Nos,146,303,361,682,2947,6265,1864,27838,76441,11255,520079,12712.26,6356.13,117842.65,77252.4,849776.44
QTN-00269,2026-10-27,XYZ Infra,Project 1,RCC,Nos,420,182,210,201,535,8636,4236,45028,71518,1634,236269,7088.98,3544.49,65714.84,43079.73,473877.05
QTN-00270,2026-10-26,SPPS Construction,Project 7,PCC,Nos,312,543,583,731,3999,1037,1833,41347,44170,17219,688764,15830,7915,146744.1,96198.91,1058188.01
QTN-00271,2026-07-03,ABC Builders,Project 86,Flooring,Nos,290,172,234,326,1921,5816,2070,3659,93431,10703,327913,8714.12,4357.06,80779.89,52955.71,582512.78
QTN-00272,2026-04-25,XYZ Infra,Project 29,PCC,Nos,323,291,749,482,1739,6183,3650,20833,41644,4570,432249,9985.92,4992.96,92569.48,60684.44,667528.79
QTN-00273,2026-03-01,SPPS Construction,Project 54,Plastering,Nos,482,376,476,317,897,9353,1673,15792,53008,4584,389092,9249.52,4624.76,85743.05,56209.33,618302.66
QTN-00274,2026-09-22,Green Homes,Project 60,RCC,Nos,129,186,691,490,3262,25,1815,14794,36615,18182,444445,10280.72,5140.36,95302.27,62475.94,687235.29
QTN-00275,2026-01-05,ABC Builders,Project 39,Waterproofing,Nos,22,400,410,365,2212,9519,4128,42457,14667,15777,502780,11513.62,5756.81,106731.26,69968.27,769650.96
QTN-00276,2026-01-16,Skyline,Project 52,Brickwork,Nos,441,262,487,547,3840,6981,1169,32767,58772,15653,567517,13494.18,6747.09,125091.05,82004.13,902045.45
QTN-00277,2026-11-12,SPPS Construction,Project 80,RCC,Nos,60,166,212,218,4433,5357,4645,18721,19901,1694,497796,10762.24,5381.12,99765.96,65402.13,719423.46
QTN-00278,2026-07-09,SPPS Construction,Project 25,PCC,Nos,156,478,138,8,3146,6249,2274,9409,26533,7821,515316,11181.58,5590.79,103653.25,67950.46,747455.08
QTN-00279,2026-12-18,SPPS Construction,Project 80,PCC,Nos,239,68,435,277,2967,6582,3679,33176,85291,18274,377500,10284.82,5142.41,95340.28,62500.85,687509.36
QTN-00280,2026-05-23,SPPS Construction,Project 95,Flooring,Nos,426,513,148,187,3789,3255,2328,20142,68501,14688,577673,13620.08,6810.04,126258.14,82769.23,910461.49
QTN-00281,2026-09-09,ABC Builders,Project 91,Waterproofing,Nos,175,20,692,650,4772,7433,1753,46000,98821,136,561477,14128.68,7064.34,130972.86,85859.99,944459.87
QTN-00282,2026-01-15,Skyline,Project 12,Brickwork,Nos,193,7,666,663,2760,2538,3317,16255,26495,18576,366611,8558.74,4279.37,79339.52,52011.46,572126.09
QTN-00283,2026-02-13,XYZ Infra,Project 70,Painting,Nos,142,457,97,799,4425,5161,309,3838,79934,6266,682762,15456,7728,143277.12,93926.11,1033187.23
QTN-00284,2026-02-21,ABC Builders,Project 67,Brickwork,Nos,335,395,722,707,319,8231,638,40661,97307,16670,410761,11307.98,5653.99,104824.97,68718.59,755904.54
QTN-00285,2026-01-16,XYZ Infra,Project 7,Flooring,Nos,406,117,526,572,3473,3974,3699,28561,56198,19139,459336,11264.68,5632.34,104423.58,68455.46,753010.06
QTN-00286,2026-01-22,Skyline,Project 42,Waterproofing,Nos,430,111,234,679,2628,5562,448,37933,67088,894,392194,9962.18,4981.09,92349.41,60540.17,665941.85
QTN-00287,2026-06-12,XYZ Infra,Project 85,Waterproofing,Nos,428,251,653,563,724,7844,2690,25278,19753,1112,352492,7972.7,3986.35,73906.93,48450.1,532951.08
QTN-00288,2026-09-23,Skyline,Project 94,Earthwork,Nos,278,226,448,322,1792,9667,1414,32980,52362,10463,389330,9702.7,4851.35,89944.03,58963.31,648596.39
QTN-00289,2026-03-12,XYZ Infra,Project 34,Flooring,Nos,345,36,558,654,3228,7291,2066,9261,41463,14524,441814,10141.24,5070.62,94009.29,61628.32,677911.47
QTN-00290,2026-07-21,ABC Builders,Project 99,Painting,Nos,413,394,275,888,1918,2179,3318,45614,64185,19989,470460,12004.96,6002.48,111285.98,72954.14,802495.56
QTN-00291,2026-11-03,XYZ Infra,Project 36,Painting,Nos,136,592,411,41,28,382,1280,1753,44223,7169,310636,7275.62,3637.81,67445,44213.94,486353.37
QTN-00292,2026-04-18,ABC Builders,Project 3,Waterproofing,Nos,14,305,725,783,4720,9478,4497,33934,7393,13222,723531,15561.6,7780.8,144256.03,94567.84,1040246.28
QTN-00293,2026-08-14,Skyline,Project 36,RCC,Nos,106,72,59,586,1763,8516,2788,41118,45914,7901,310581,8110.28,4055.14,75182.3,49286.17,542147.89
QTN-00294,2026-04-02,Skyline,Project 82,Painting,Nos,140,189,55,538,4355,288,1960,35709,76391,17752,484899,12295.02,6147.51,113974.84,74716.84,821885.2
QTN-00295,2026-10-24,Green Homes,Project 63,Plastering,Nos,311,263,506,883,832,7619,3969,4652,24944,19170,392111,8817.54,4408.77,81738.6,53584.19,589426.1
QTN-00296,2026-08-11,Green Homes,Project 22,RCC,Nos,336,434,347,502,3099,1275,269,16177,34088,989,526194,11548.96,5774.48,107058.86,70183.03,772013.33
QTN-00297,2026-11-13,XYZ Infra,Project 80,PCC,Nos,102,368,677,80,4402,5185,2149,33538,20053,19532,603139,13525.24,6762.62,125378.97,82192.88,904121.72
QTN-00298,2026-10-11,XYZ Infra,Project 92,Brickwork,Nos,349,70,62,237,1213,4283,4414,34694,20736,7159,194553,5142.84,2571.42,47674.13,31253.04,343783.43
QTN-00299,2026-11-07,Skyline,Project 21,RCC,Nos,353,244,314,679,1719,3010,2025,41568,63513,9348,371430,9717.18,4858.59,90078.26,59051.3,649564.33
QTN-00300,2026-02-22,SPPS Construction,Project 53,RCC,Nos,281,186,81,403,1419,443,2404,4822,85732,7118,250913,6971.7,3485.85,64627.66,42367.02,466037.23
QTN-00301,2026-04-08,Green Homes,Project 13,Earthwork,Nos,341,587,482,810,1357,4915,1591,38410,25195,6612,542596,12256.26,6128.13,113615.53,74481.29,819294.21
QTN-00302,2026-02-08,XYZ Infra,Project 35,RCC,Nos,405,467,556,802,1266,633,2183,10494,9720,12737,453067,9720.36,4860.18,90107.74,59070.63,649776.9
QTN-00303,2026-12-14,Skyline,Project 2,Brickwork,Nos,490,199,652,382,2076,4193,3554,39530,88045,4628,380348,10251.02,5125.51,95026.96,62295.45,685249.93
QTN-00304,2026-12-07,XYZ Infra,Project 24,PCC,Nos,71,57,146,810,3666,5624,4929,47558,99852,1268,459401,12161.58,6080.79,112737.85,73905.92,812965.14
QTN-00305,2026-08-28,SPPS Construction,Project 71,PCC,Nos,30,390,318,659,805,994,364,15389,11830,7504,348711,7668.68,3834.34,71088.66,46602.57,512628.25
QTN-00306,2026-07-14,XYZ Infra,Project 91,Flooring,Nos,143,200,136,36,4527,5814,1782,26418,55784,6311,493019,11630.64,5815.32,107816.03,70679.4,777473.39
QTN-00307,2026-10-26,Skyline,Project 71,Brickwork,Nos,471,186,238,753,3136,941,3678,5132,71481,18144,439506,10685.26,5342.63,99052.36,64934.33,714277.58
QTN-00308,2026-03-20,XYZ Infra,Project 24,Plastering,Nos,459,273,412,620,1998,8325,2417,42922,94312,19422,449077,12114.66,6057.33,112302.9,73620.79,809828.68
QTN-00309,2026-09-24,SPPS Construction,Project 23,Flooring,Nos,116,119,492,205,2119,354,375,32513,92709,17836,279642,8454,4227,78368.58,51374.96,565124.54
QTN-00310,2026-04-19,XYZ Infra,Project 60,Plastering,Nos,466,217,457,391,1522,7333,1041,29011,32117,13675,354985,8595.76,4297.88,79682.7,52236.43,574600.77
QTN-00311,2026-12-03,Green Homes,Project 27,Earthwork,Nos,237,111,342,326,3824,3096,4367,27436,6823,13159,432365,9595.66,4797.83,88951.77,58312.83,641441.08
